"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13313","test_shopping[TC_9-None-secret_sauce-Fail-Sauce Labs Fleece Jacket, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt-Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt-None-Williams-73038-Fail]","test_cases","Sun Jan 19 00:16:45 IST 2025","passed","Sun Jan 19 00:16:59 IST 2025","","test_shopping","",""
"","11573","test_submit[TC_8-vcacsa-acca-Fail]","test_cases","Sat Jan 18 23:20:13 IST 2025","passed","Sat Jan 18 23:20:25 IST 2025","","test_login","",""
"","27284","test_shopping[TC_1-standard_user-secret_sauce-Pass-Sauce Labs Onesie, Sauce Labs Backpack, Sauce Labs Bolt T-Shirt-Sauce Labs Backpack-Alex-Garcia-14182-Pass]","test_cases","Sun Jan 19 00:08:28 IST 2025","passed","Sun Jan 19 00:08:56 IST 2025","","test_shopping","",""
"","14017","test_shopping[TC_6-visual_user-None-Fail-Sauce Labs Onesie, Sauce Labs Bike Light, Test.allTheThings() T-Shirt (Red)-None-Jordan-Smith-87034-Pass]","test_cases","Sun Jan 19 00:13:47 IST 2025","passed","Sun Jan 19 00:14:01 IST 2025","","test_shopping","",""
"","15628","test_shopping[TC_2-locked_out_user-secret_sauce-Fail-Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt-Sauce Labs Bike Light-Morgan-Lopez-17866-Pass]","test_cases","Sun Jan 19 00:09:27 IST 2025","passed","Sun Jan 19 00:09:42 IST 2025","","test_shopping","",""
"","15951","test_submit[TC_3-problem_user-vasca-Fail]","test_cases","Sat Jan 18 23:17:34 IST 2025","passed","Sat Jan 18 23:17:50 IST 2025","","test_login","",""
"","11489","test_submit[TC_9-None-secret_sauce-Fail]","test_cases","Sat Jan 18 23:20:45 IST 2025","passed","Sat Jan 18 23:20:57 IST 2025","","test_login","",""
"","11324","test_submit[TC_6-visual_user-None-Fail]","test_cases","Sat Jan 18 23:19:11 IST 2025","passed","Sat Jan 18 23:19:22 IST 2025","","test_login","",""
"","29243","test_shopping[TC_8-standard_user-secret_sauce-Pass-Sauce Labs Bolt T-Shirt, Test.allTheThings() T-Shirt (Red), Sauce Labs Backpack-Test.allTheThings() T-Shirt (Red)-John-None-31103-Fail]","test_cases","Sun Jan 19 00:15:31 IST 2025","passed","Sun Jan 19 00:16:00 IST 2025","","test_shopping","",""
"","11718","test_submit[TC_5-error_user-vdvsv-Fail]","test_cases","Sat Jan 18 23:18:39 IST 2025","passed","Sat Jan 18 23:18:50 IST 2025","","test_login","",""
"","5226","test_submit[TC_7-visual_user-secret_sauce-Pass]","test_cases","Sat Jan 18 23:19:47 IST 2025","passed","Sat Jan 18 23:19:52 IST 2025","","test_login","",""
"","6465","test_submit[TC_4-performance_glitch_user-secret_sauce-Pass]","test_cases","Sat Jan 18 23:18:10 IST 2025","passed","Sat Jan 18 23:18:16 IST 2025","","test_login","",""
"","30832","test_shopping[TC_4-performance_glitch_user-secret_sauce-Pass-Sauce Labs Backpack, Sauce Labs Onesie, Test.allTheThings() T-Shirt (Red)-Sauce Labs Backpack-Morgan-Martinez-30240-Pass]","test_cases","Sun Jan 19 00:11:25 IST 2025","passed","Sun Jan 19 00:11:55 IST 2025","","test_shopping","",""
"","2665","test_submit[TC_1-standard_user-secret_sauce-Pass]","test_cases","Sat Jan 18 23:16:24 IST 2025","passed","Sat Jan 18 23:16:26 IST 2025","","test_login","",""
"","25499","test_shopping[TC_7-visual_user-secret_sauce-Pass-Sauce Labs Bolt T-Shirt, Test.allTheThings() T-Shirt (Red), Sauce Labs Onesie-Test.allTheThings() T-Shirt (Red)-Morgan-Davis-85223-Pass]","test_cases","Sun Jan 19 00:14:33 IST 2025","passed","Sun Jan 19 00:14:58 IST 2025","","test_shopping","",""
"","11461","test_submit[TC_2-locked_out_user-secret_sauce-Fail]","test_cases","Sat Jan 18 23:16:46 IST 2025","passed","Sat Jan 18 23:16:57 IST 2025","","test_login","",""
"","33829","test_shopping[TC_3-problem_user-secret_sauce-Pass-Sauce Labs Fleece Jacket, Sauce Labs Bolt T-Shirt-Sauce Labs Fleece Jacket-John-Brown-62236-Pass]","test_cases","Sun Jan 19 00:10:18 IST 2025","failed","Sun Jan 19 00:10:51 IST 2025","","test_shopping","",""
"","43797","test_shopping[TC_5-error_user-secret_sauce-Pass-Test.allTheThings() T-Shirt (Red), Sauce Labs Onesie-None-Alex-Smith-24309-Pass]","test_cases","Sun Jan 19 00:12:27 IST 2025","failed","Sun Jan 19 00:13:10 IST 2025","","test_shopping","",""
